building_id,date,consumption_kwh
Academic Building,2024-01-01,237.38
Academic Building,2024-01-02,215.31
Academic Building,2024-01-03,242.97
Academic Building,2024-01-04,273.76
Academic Building,2024-01-05,212.4
Academic Building,2024-01-06,197.56
Academic Building,2024-01-07,261.17
Academic Building,2024-01-08,247.91
Academic Building,2024-01-09,204.77
Academic Building,2024-01-10,240.34
Academic Building,2024-01-11,205.28
Academic Building,2024-01-12,205.35
Academic Building,2024-01-13,215.27
Academic Building,2024-01-14,139.99
Academic Building,2024-01-15,161.73
Academic Building,2024-01-16,202.57
Academic Building,2024-01-17,186.95
Academic Building,2024-01-18,233.55
Academic Building,2024-01-19,190.92
Academic Building,2024-01-20,158.42
Academic Building,2024-01-21,259.3
Academic Building,2024-01-22,215.25
Academic Building,2024-01-23,225.66
Academic Building,2024-01-24,173.58
Academic Building,2024-01-25,204.55
Academic Building,2024-01-26,227.63
Academic Building,2024-01-27,168.62
Academic Building,2024-01-28,222.2
Academic Building,2024-01-29,203.18
Academic Building,2024-01-30,214.14
Academic Building,2024-01-31,291.98
Academic Building,2024-02-01,289.48
Academic Building,2024-02-02,206.12
Academic Building,2024-02-03,209.76
Academic Building,2024-02-04,202.07
Academic Building,2024-02-05,238.88
Academic Building,2024-02-06,181.12
Academic Building,2024-02-07,263.77
Academic Building,2024-02-08,322.94
Academic Building,2024-02-09,267.63
Academic Building,2024-02-10,218.65
Academic Building,2024-02-11,242.01
Academic Building,2024-02-12,190.98
Academic Building,2024-02-13,171.03
Academic Building,2024-02-14,253.68
Academic Building,2024-02-15,207.92
Academic Building,2024-02-16,179.77
Academic Building,2024-02-17,181.23
Academic Building,2024-02-18,172.63
Academic Building,2024-02-19,232.06
Academic Building,2024-02-20,247.87
Academic Building,2024-02-21,258.72
Academic Building,2024-02-22,259.1
Academic Building,2024-02-23,254.37
Academic Building,2024-02-24,205.85
Academic Building,2024-02-25,191.43
Academic Building,2024-02-26,175.61
Academic Building,2024-02-27,267.04
Academic Building,2024-02-28,222.48
Academic Building,2024-02-29,214.49
Academic Building,2024-03-01,270.29
Academic Building,2024-03-02,182.71
Academic Building,2024-03-03,243.52
Academic Building,2024-03-04,239.83
Academic Building,2024-03-05,193.28
Academic Building,2024-03-06,227.1
Academic Building,2024-03-07,263.95
Academic Building,2024-03-08,257.9
Academic Building,2024-03-09,267.54
Academic Building,2024-03-10,227.19
Academic Building,2024-03-11,348.53
Academic Building,2024-03-12,198.44
Academic Building,2024-03-13,216.85
Academic Building,2024-03-14,228.82
Academic Building,2024-03-15,181.44
Academic Building,2024-03-16,252.74
Academic Building,2024-03-17,248.02
Academic Building,2024-03-18,232.22
Academic Building,2024-03-19,213.0
Academic Building,2024-03-20,179.52
Academic Building,2024-03-21,204.38
Academic Building,2024-03-22,258.18
Academic Building,2024-03-23,209.87
Academic Building,2024-03-24,202.51
Academic Building,2024-03-25,250.15
Academic Building,2024-03-26,273.29
Academic Building,2024-03-27,241.9
Academic Building,2024-03-28,244.06
Academic Building,2024-03-29,281.22
Academic Building,2024-03-30,224.49
Academic Building,2024-03-31,295.38
Academic Building,2024-04-01,257.21
Academic Building,2024-04-02,220.08
Academic Building,2024-04-03,182.73
Academic Building,2024-04-04,244.46
Academic Building,2024-04-05,243.39
Academic Building,2024-04-06,219.58
Academic Building,2024-04-07,211.34
Academic Building,2024-04-08,185.16
Academic Building,2024-04-09,220.13
Academic Building,2024-04-10,223.0
Academic Building,2024-04-11,207.07
Academic Building,2024-04-12,229.66
Academic Building,2024-04-13,234.59
Academic Building,2024-04-14,286.62
Academic Building,2024-04-15,241.86
Academic Building,2024-04-16,244.91
Academic Building,2024-04-17,233.44
Academic Building,2024-04-18,169.04
Academic Building,2024-04-19,235.42
Academic Building,2024-04-20,223.61
Academic Building,2024-04-21,307.86
Academic Building,2024-04-22,230.07
Academic Building,2024-04-23,247.5
Academic Building,2024-04-24,235.89
Academic Building,2024-04-25,196.35
Academic Building,2024-04-26,277.4
Academic Building,2024-04-27,248.87
Academic Building,2024-04-28,250.39
Academic Building,2024-04-29,206.02
Academic Building,2024-04-30,287.1
Academic Building,2024-05-01,189.09
Academic Building,2024-05-02,258.84
