site_id,building_id,primary_use,square_feet,year_built,floor_count
0,49,Lodging/residential,24456,1968.0,
1,141,Office,44789,1919.0,5.0
2,168,Education,183460,2005.0,
3,538,Religious worship,10000,2010.0,
4,602,Entertainment/public assembly,238065,1933.0,6.0
4,614,Lodging/residential,185200,1930.0,8.0
6,754,Office,41337,,
7,793,Education,150695,1964.0,6.0
8,838,Public services,18414,,1.0
9,874,Office,181805,,
9,947,Education,91629,,
10,1006,Office,26948,,1.0
12,1050,Office,50493,,2.0
14,1323,Office,87200,,
15,1380,Education,204029,2010.0,
